"sample_index","timestamp_utc","elapsed_seconds","pid","parent_pid","process_name","instance_key","event","cpu_total_seconds","working_set_bytes","private_bytes","error"
"32","2026-09-12T05:21:11.0920207Z","55.400178","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"32","2026-09-12T05:21:11.1174348Z","55.425592","46004","14372","zenserver.exe","46004:639247872218402360","Sample","1.000000","55517184","223354880",""
"32","2026-09-12T05:21:11.1417370Z","55.449895","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"33","2026-09-12T05:21:12.9871271Z","57.295305","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"33","2026-09-12T05:21:13.0143216Z","57.322501","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.500000","90947584","97185792",""
"33","2026-09-12T05:21:13.0393375Z","57.347522","14372","65944","UnrealEditor","14372:639247872156630390","Sample","84.156250","3420438528","3818655744",""
"33","2026-09-12T05:21:13.0635816Z","57.371760","90976","14372","EpicWebHelper.exe","90976:639247872455514780","Sample","1.828125","82046976","46538752",""
"33","2026-09-12T05:21:13.0880838Z","57.396262","51796","14372","EpicWebHelper.exe","51796:639247872455315220","Sample","0.062500","38912000","24367104",""
"33","2026-09-12T05:21:13.1127999Z","57.420978","117716","14372","EpicWebHelper.exe","117716:639247872454980310","Sample","0.046875","28721152","19480576",""
"33","2026-09-12T05:21:13.1397573Z","57.447938","46004","14372","zenserver.exe","46004:639247872218402360","Sample","1.015625","55521280","223354880",""
"33","2026-09-12T05:21:13.1632433Z","57.471431","120408","14372","EpicWebHelper.exe","120408:639247872454799320","Sample","0.218750","41553920","21889024",""
"34","2026-09-12T05:21:14.9488791Z","59.257078","102480","46004","crashpad_handler.exe","102480:639247872220006830","Sample","0.031250","9797632","1544192",""
"34","2026-09-12T05:21:14.9751228Z","59.283333","102484","14372","EpicWebHelper.exe","102484:639247872454443300","Sample","0.500000","90812416","97021952",""
"34","2026-09-12T05:21:15.0013299Z","59.309530","14372","65944","UnrealEditor","14372:639247872156630390","Sample","87.296875","3420467200","3818655744",""
